epoch	loss	v_loss	|	v_ma_f1	v_mi_f1	v_pre	v_rec	|	t_ma_f1	t_mi_f1	t_pre	t_rec
64	0.3619	6.6675	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
65	0.3731	8.0632	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
66	0.3652	9.0176	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
67	0.3706	7.5697	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
68	0.3598	6.5600	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
69	0.3706	8.4029	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
70	0.3533	9.3790	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
71	0.3444	8.5282	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
72	0.3668	7.5555	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
73	0.3437	7.3230	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
74	0.3756	7.7693	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
75	0.3730	7.9265	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
76	0.3507	8.7155	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
77	0.3369	9.4156	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
78	0.3599	8.7719	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
79	0.3518	9.1231	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
80	0.3690	8.7409	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
81	0.3482	6.9907	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
82	0.3630	8.6327	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
83	0.3380	8.9112	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
84	0.3337	7.9130	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
85	0.3525	9.6066	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
86	0.3541	9.1560	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
87	0.3295	9.9653	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
88	0.3208	8.8202	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
89	0.3520	8.9921	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
90	0.3252	10.3283	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
91	0.3100	9.9449	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
92	0.3302	5.6400	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
93	0.5106	8.5084	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
94	0.3585	9.7368	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
95	0.3237	9.7232	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
96	0.3343	10.2175	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
97	0.3717	9.1277	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
98	0.3342	9.0835	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
99	0.3643	10.3207	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
100	0.3230	8.7367	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
101	0.3232	10.5148	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
102	0.3067	9.4379	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
103	0.3299	8.7485	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
104	0.3221	9.5865	|	0.0079	0.0452	0.0452	0.0452	|	0.0021	0.0180	0.0180	0.0180	|  Best result at epoch 0
